date,VRP(A) ,VRP(E) ,VRP(N),Mktrf,Correlations,Beta,Beta(WLS)
12/31/2016,0.000838,0.001334,0.000987,0.0182,-0.47913,-8.5515,-8.5514
11/30/2016,0.001358,0.001065,0.001454,0.0486,0.22432,2.6278,1.418
10/31/2016,0.001174,0.001679,0.001345,-0.0202,-0.60276,-7.9971,-8.6508
9/30/2016,0.001022,0.000722,0.001115,0.0025,-0.3702,-9.0559,-8.7941
8/31/2016,0.000501,0.000916,0.001124,0.005,-0.47798,-6.4919,-7.7568
7/31/2016,0.000325,0.000104,0.001074,0.0395,-0.15264,-4.8683,-4.0099
6/30/2016,0.001577,0.000752,0.002017,-0.0005,-0.71648,-8.703,-8.4584
5/31/2016,0.000668,0.000559,0.001244,0.0178,-0.3564,-6.5357,-9.7084
4/30/2016,0.000567,0.000919,0.001161,0.0092,-0.31937,-9.0846,-6.1846
3/31/2016,0.000929,0.000477,0.001479,0.0696,-0.21137,-4.1741,-3.7881
2/29/2016,0.002844,0.002306,0.001922,-0.0007,-0.31718,-2.5488,-2.4742
1/31/2016,0.003297,0.001814,0.001313,-0.0577,-0.42666,-3.7671,-3.3769
12/31/2015,0.001653,0.001688,0.001653,-0.0217,-0.27567,-5.1375,-7.3059
11/30/2015,0.001229,0.001199,0.001503,0.0056,-0.2268,-6.1669,-1.4386
10/31/2015,0.001402,0.000925,0.001482,0.0775,0.26154,3.8765,5.6154
9/30/2015,0.004122,0.003979,0.003039,-0.0308,-0.38008,-4.9711,-5.1825
8/31/2015,0.002326,0.00471,0.000212,-0.0604,-0.25649,-0.3629,-0.2309
7/31/2015,0.000973,0.000319,0.001245,0.0154,-0.28712,-5.8598,-10.7812
6/30/2015,0.001049,0.002048,0.001236,-0.0153,-0.38125,-10.3909,-7.6323
5/31/2015,0.000847,0.000971,0.000971,0.0136,-0.6793,-14.4622,-15.1999
4/30/2015,0.000905,0.001086,0.000969,0.0059,-0.63955,-11.125,-13.0733
3/31/2015,0.001156,0.001336,0.001215,-0.0112,-0.16215,-2.2037,-2.1019
2/28/2015,0.001618,0.000936,0.001379,0.0613,-0.16666,-1.969,-6.6183
1/31/2015,0.00241,0.003075,0.001448,-0.0311,-0.57106,-10.7232,-8.9979
