date,VRP(A) ,VRP(N),Mktrf,Beta,Beta(WLS),Beta*VRP,Pred,,,,
1/31/1990,0.00402,0.003185,-0.0785,-3.2262,-3.6611,0.014717622,0.0111,,,,
2/28/1990,0.004137,0.003408,0.0111,-9.5572,-11.0277,0.045621595,0.0183,,,,
3/31/1990,0.002839,0.00299,0.0183,-7.2433,-4.823,0.013692497,-0.0336,,,,
4/30/1990,0.003275,0.003141,-0.0336,-11.2872,-13.6798,0.044801345,0.0842,,,,
5/31/1990,0.002105,0.002308,0.0842,8.3625,8.1323,-0.017118492,-0.0109,,,,
6/30/1990,0.001673,0.001718,-0.0109,-4.65,-3.7331,0.006245476,-0.019,,,,
7/31/1990,0.002073,0.001912,-0.019,-3.4649,-3.4703,0.007193932,-0.1015,,,,
8/31/1990,0.005952,0.005207,-0.1015,-5.7057,-5.1422,0.030606374,-0.0612,,,,
9/30/1990,0.006283,0.005205,-0.0612,-1.1434,-1.6539,0.010391454,-0.0192,,,,
10/31/1990,0.006358,0.005844,-0.0192,-0.3854,-0.3694,0.002348645,0.0635,,,,
11/30/1990,0.004423,0.004262,0.0635,2.0453,3.1226,-0.01381126,0.0246,,,,
12/31/1990,0.003707,0.003618,0.0246,3.2029,3.4527,-0.012799159,0.0469,,,,
1/31/1991,0.00559,0.005313,0.0469,0.0252,-0.9385,0.005246215,0.0719,,,,
2/28/1991,0.002886,0.002267,0.0719,-2.7217,-3.2987,0.009520048,0.0265,,,,
3/31/1991,0.001606,0.00163,0.0265,-2.6517,-2.9509,0.004739145,-0.0028,,,,
4/30/1991,0.001616,0.001754,-0.0028,-3.6801,-3.8385,0.006203016,0.0365,,,,
5/31/1991,0.00153,0.00188,0.0365,-5.9297,-6.2807,0.009609471,-0.0494,,,,
6/30/1991,0.001683,0.001833,-0.0494,-11.277,-7.4553,0.01254727,0.0424,,,,
7/31/1991,0.001772,0.002065,0.0424,2.9884,-3.0048,0.005324506,0.0232,,,,
8/31/1991,0.001491,0.001421,0.0232,-2.8402,-7.0472,0.010507375,-0.0159,,,,
9/30/1991,0.001792,0.001835,-0.0159,-6.5096,-6.1312,0.01098711,0.0129,,,,
10/31/1991,0.001741,0.001977,0.0129,1.5401,0.4553,-0.000792677,-0.0419,,,,
11/30/1991,0.00216,0.001708,-0.0419,-5.1918,-2.0044,0.004329504,0.1084,,,,
12/31/1991,0.002107,0.002087,0.1084,3.4588,3.1232,-0.006580582,-0.0059,,,,
1/31/1992,0.002001,0.001957,-0.0059,-1.4361,-1.5602,0.00312196,0.0109,,,,
2/29/1992,0.002026,0.001814,0.0109,-10.6067,-11.113,0.022514938,-0.0266,,,,
3/31/1992,0.002096,0.002272,-0.0266,-13.572,-11.0482,0.023157027,0.0107,,,,
4/30/1992,0.001817,0.001701,0.0107,-4.1978,-6.3126,0.011469994,0.003,,,,
5/31/1992,0.001431,0.001459,0.003,-13.6005,-13.4856,0.019297894,-0.0234,,,,
6/30/1992,0.001505,0.001616,-0.0234,-6.6875,-0.7387,0.001111744,0.0377,,,,
7/31/1992,0.001107,0.001168,0.0377,-5.5521,-5.7868,0.006405988,-0.0238,,,,
8/31/1992,0.001367,0.00141,-0.0238,-7.6135,-7.9294,0.01083949,0.0119,,,,
9/30/1992,0.00121,0.001276,0.0119,-2.8412,-4.0106,0.004852826,0.0102,,,,
10/31/1992,0.002194,0.002046,0.0102,-2.999,-3.0237,0.006633998,0.0413,,,,
11/30/1992,0.001406,0.001384,0.0413,-6.5374,-6.7254,0.009455912,0.0153,,,,
